modelo,ret_medio,vol_media,mdd_medio,n,sharpe_aprox
1/N,0.08483359802433246,0.16208330708641147,-0.06707346872589795,5,2.0935801360248685
ANFIS,0.06598414575761728,0.16826032427539625,-0.07365606599519363,5,1.568620434835707
MLP,0.07450563834118182,0.17677394277875566,-0.07355853291215422,5,1.6858963978515902
MaxSharpe,0.1432652112552494,0.21010791080497157,-0.06331518878841833,5,2.72745963169816
MinVar,0.0849834462577852,0.18930371502601223,-0.07428843079094727,5,1.795705831681277
OWA-Adventurer,0.11190212236515898,0.2611753053009301,-0.09460500110555506,5,1.7138239350190276
OWA-Analyst,0.10071521699725669,0.2415600615349976,-0.09348852235938165,5,1.6677461722316198
OWA-Guardian,0.0890877456185233,0.18729398759055144,-0.07373908215002165,5,1.9026290542391673
OWA-Innovator,0.1392106239667199,0.23306914383825453,-0.07590230200934259,5,2.3891729582759247
OWA-Pragmatist,0.09526145038155578,0.23849413332273897,-0.09930710595016794,5,1.5977156176440535
OWA-Sentinel,0.09570121782863682,0.21050810679695403,-0.08628494119594406,5,1.8184804240521835
OWA-Strategist,0.10243534197863713,0.25386568408846005,-0.09543867025778267,5,1.6140084839972828
OWA-Visionary,0.14580893141357745,0.22124882456548017,-0.07475633464345217,5,2.6361076801187573
