modelo,ret_medio,vol_media,mdd_medio,n,sharpe_aprox
1/N,0.0722900436014861,0.15947637323041883,-0.06928654519120603,14,1.8131850414490704
ANFIS,0.05641009241829897,0.16222174753827395,-0.07590070551914765,14,1.390937855727138
MLP,0.06628937555867746,0.17153167493301677,-0.07156346692787716,14,1.5458223814246204
MaxSharpe,0.09778266881731383,0.20949810385851034,-0.07384912029365336,14,1.866989094724289
MinVar,0.06904355447819747,0.1680354345216233,-0.06760651351753902,14,1.6435474975800475
OWA-Adventurer,0.07185439569207275,0.2206576173107802,-0.08776562271582741,14,1.3025500151371807
OWA-Analyst,0.055855094198552745,0.20109071207047258,-0.0826234456157602,14,1.1110427453054765
OWA-Guardian,0.06341414155817879,0.17224197429142918,-0.06825259024915535,14,1.4726756777853376
OWA-Innovator,0.0818721335235435,0.2160517403458793,-0.08349378575894972,14,1.515787531125158
OWA-Pragmatist,0.05847309677371467,0.19531309703328176,-0.08096473957637332,14,1.1975253613176946
OWA-Sentinel,0.06078806794242015,0.18153863661142808,-0.07466930706440923,14,1.3393968155116895
OWA-Strategist,0.06142759349659648,0.20891458013962483,-0.08535349467055575,14,1.1761284148869322
OWA-Visionary,0.09693736610647116,0.2193013518813515,-0.08051122299717928,14,1.7681125132127253
